City_Name,3YearPop,AvgPerYrPop,MidYrPop,CrudeRate100K
CA Alameda,147624,49208,24604,2.5
CA Alhambra,166178,55393,27696,2.8
CA Anaheim,672494,224165,112082,11.2
CA Antioch,204744,68248,34124,3.4
CA Apple Valley,138238,46079,23040,2.3
CA Bakersfield,694880,231627,115813,11.6
CA Baldwin Park,150780,50260,25130,2.5
CA Bellflower,153232,51077,25539,2.6
CA Berkeley,225160,75053,37527,3.8
CA Buena Park,161060,53687,26843,2.7
CA Burbank,206680,68893,34447,3.4
CA Carlsbad,210654,70218,35109,3.5
CA Carson,183386,61129,30564,3.1
CA Chico,172373,57458,28729,2.9
CA Chino,155966,51989,25994,2.6
CA Chino Hills,149598,49866,24933,2.5
CA Chula Vista,487832,162611,81305,8.1
CA Citrus Heights,166602,55534,27767,2.8
CA Clovis,191260,63753,31877,3.2
CA Compton,192910,64303,32152,3.2
CA Concord,244119,81373,40687,4.1
CA Corona,304748,101583,50791,5.1
CA Costa Mesa,219918,73306,36653,3.7
CA Daly City,202246,67415,33708,3.4
CA Downey,223513,74504,37252,3.7
CA El Cajon,198956,66319,33159,3.3
CA El Monte,226909,75636,37818,3.8
CA Elk Grove,306030,102010,51005,5.1
CA Escondido,287805,95935,47968,4.8
CA Fairfield,210626,70209,35104,3.5
CA Folsom,144366,48122,24061,2.4
CA Fontana,392138,130713,65356,6.5
CA Fremont,428178,142726,71363,7.1
CA Fresno,985400,328467,164233,16.4
CA Fullerton,270322,90107,45054,4.5
CA Garden Grove,341754,113918,56959,5.7
CA Glendale,379854,126618,63309,6.3
CA Hawthorne,168516,56172,28086,2.8
CA Hayward,288356,96119,48059,4.8
CA Hemet,157282,52427,26214,2.6
CA Hesperia,180335,60112,30056,3.0
CA Huntington Beach,371485,123828,61914,6.2
CA Indio,152033,50678,25339,2.5
CA Inglewood,219345,73115,36558,3.7
CA Irvine,424697,141566,70783,7.1
CA Lake Forest,154528,51509,25755,2.6
CA Lakewood,160096,53365,26683,2.7
CA Lancaster,313266,104422,52211,5.2
CA Livermore,161936,53979,26989,2.7
CA Long Beach,921615,307205,153603,15.4
CA Los Angeles,7192897,2397632,1198816,119.9
CA Lynwood,139544,46515,23257,2.3
CA Manteca,134192,44731,22365,2.2
CA Menifee,155038,51679,25840,2.6
CA Merced,157892,52631,26315,2.6
CA Milpitas,133512,44504,22252,2.2
CA Mission Viejo,186610,62203,31102,3.1
CA Modesto,402325,134108,67054,6.7
CA Moreno Valley,386730,128910,64455,6.4
CA Mountain View,148104,49368,24684,2.5
CA Murrieta,206894,68965,34482,3.4
CA Napa,153781,51260,25630,2.6
CA Newport Beach,170342,56781,28390,2.8
CA Norwalk,211098,70366,35183,3.5
CA Oakland,773942,257981,128990,12.9
CA Oceanside,330997,110332,55166,5.5
CA Ontario,323767,107922,53961,5.4
CA Orange,268340,89447,44723,4.5
CA Oxnard,395798,131933,65966,6.6
CA Palmdale,305403,101801,50901,5.1
CA Pasadena,274196,91399,45699,4.6
CA Perris,136726,45575,22788,2.3
CA Pleasanton,140570,46857,23428,2.3
CA Pomona,298116,99372,49686,5.0
CA Rancho Cucamonga,330538,110179,55090,5.5
CA Redding,175707,58569,29285,2.9
CA Redlands,137494,45831,22916,2.3
CA Redondo Beach,133496,44499,22249,2.2
CA Redwood City,153603,51201,25601,2.6
CA Rialto,198342,66114,33057,3.3
CA Richmond,207285,69095,34548,3.5
CA Riverside,607685,202562,101281,10.1
CA Roseville,237572,79191,39595,4.0
CA Sacramento,927780,309260,154630,15.5
CA Salinas,300875,100292,50146,5.0
CA San Bernardino,419840,139947,69973,7.0
CA San Buenaventura (Ventura),212847,70949,35475,3.5
CA San Diego,2577110,859037,429518,43.0
CA San Francisco,1591964,530655,265327,26.5
CA San Jose,1865525,621842,310921,31.1
CA San Leandro,169891,56630,28315,2.8
CA San Marcos,167562,55854,27927,2.8
CA San Mateo,194414,64805,32402,3.2
CA San Ramon,144248,48083,24041,2.4
CA Santa Ana,649056,216352,108176,10.8
CA Santa Barbara,172761,57587,28794,2.9
CA Santa Clara,232933,77644,38822,3.9
CA Santa Clarita,352620,117540,58770,5.9
CA Santa Maria,199099,66366,33183,3.3
CA Santa Monica,179472,59824,29912,3.0
CA Santa Rosa,335630,111877,55938,5.6
CA Simi Valley,248463,82821,41411,4.1
CA South Gate,188792,62931,31465,3.1
CA Stockton,575171,191724,95862,9.6
CA Sunnyvale,280136,93379,46689,4.7
CA Temecula,200194,66731,33366,3.3
CA Thousand Oaks,253359,84453,42227,4.2
CA Torrance,290876,96959,48479,4.8
CA Tracy,165813,55271,27636,2.8
CA Turlock,137098,45699,22850,2.3
CA Tustin,151005,50335,25168,2.5
CA Union City,139032,46344,23172,2.3
CA Upland,147464,49155,24577,2.5
CA Vacaville,184845,61615,30808,3.1
CA Vallejo,231884,77295,38647,3.9
CA Victorville,231801,77267,38634,3.9
CA Visalia,248883,82961,41481,4.1
CA Vista,187640,62547,31273,3.1
CA West Covina,212196,70732,35366,3.5
CA Westminster,179402,59801,29900,3.0
CA Whittier,170662,56887,28444,2.8
