,StateAndCity,Diabetic,Pre_Diabetic,Low_Risk,Pop_Count
5,TX_Abilene,11.5,11.7,11.4,117063
395,TX_Allen,8.5,8.7,8.3,84246
470,TX_Amarillo,11.5,11.6,11.4,190695
747,TX_Arlington,11.4,11.4,11.3,365438
1269,TX_Austin,9.7,9.8,9.7,790390
1871,TX_Baytown,12.3,12.4,12.1,71802
1925,TX_Beaumont,13.8,14.0,13.7,118296
2752,TX_Brownsville,18.3,18.4,18.0,175023
2822,TX_Bryan,12.8,13.0,12.6,76201
3123,TX_Carrollton,10.4,10.5,10.3,119097
5156,TX_College Station,10.0,10.2,9.8,93857
5835,TX_Corpus Christi,13.5,13.6,13.5,305215
6106,TX_Dallas,13.5,13.5,13.4,1197816
6566,TX_Denton,10.4,10.6,10.2,113383
7208,TX_Edinburg,16.6,16.9,16.3,77100
7340,TX_El Paso,15.0,15.1,14.9,649121
8421,TX_Fort Worth,12.8,12.8,12.7,741206
8627,TX_Frisco,8.0,8.2,7.9,116989
8790,TX_Garland,12.1,12.2,12.0,226876
9087,TX_Grand Prairie,12.1,12.2,12.0,175396
10649,TX_Houston,13.3,13.3,13.2,2099451
11193,TX_Irving,11.9,12.0,11.8,216290
11974,TX_Killeen,13.5,13.6,13.4,127921
12367,TX_Laredo,18.0,18.2,17.8,236091
12764,TX_League City,8.6,8.8,8.5,83560
12797,TX_Lewisville,10.6,10.7,10.4,95290
13251,TX_Longview,12.2,12.4,12.1,80455
14519,TX_Lubbock,11.6,11.7,11.5,229573
14784,TX_McAllen,15.9,16.2,15.7,129877
14799,TX_McKinney,9.2,9.4,9.1,131117
15263,TX_Mesquite,11.9,12.0,11.7,139824
15448,TX_Midland,10.4,10.5,10.2,111147
15855,TX_Mission,15.5,15.8,15.2,77058
15920,TX_Missouri City,10.9,11.1,10.7,67358
19583,TX_Odessa,12.2,12.3,12.0,99940
20494,TX_Pasadena,12.7,12.8,12.6,149043
20593,TX_Pearland,9.3,9.5,9.1,91252
20742,TX_Pharr,18.0,18.4,17.5,70400
21666,TX_Plano,8.6,8.7,8.5,259841
22610,TX_Richardson,8.8,9.0,8.7,99223
23146,TX_Round Rock,10.0,10.2,9.9,99887
23413,TX_San Angelo,11.4,11.6,11.3,93200
23635,TX_San Antonio,13.7,13.8,13.7,1327407
26362,TX_Sugar Land,9.3,9.4,9.1,78817
27502,TX_Tyler,12.5,12.6,12.3,96900
27874,TX_Waco,14.0,14.1,13.8,124805
28635,TX_Wichita Falls,12.4,12.6,12.3,104553
